1/24/2011,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.4,0.8,0.7
4/26/2011,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.6,1.2,0.4
7/26/2011,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.9,0.7,1.6
10/25/2011,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.6,0.7,0.9
1/24/2012,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0,0.2,0.6
4/23/2012,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.6,0
7/24/2012,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,0.1
10/23/2012,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.4,1.1,0.5
1/22/2013,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.4,1.4
4/23/2013,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.4,0.7,0.2
7/23/2013,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.4,0.5,0.4
10/22/2013,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.2,0.8,0.4
1/21/2014,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.8,0.5,1.2
4/22/2014,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.6,0.8,0.8
7/22/2014,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,0.6
10/21/2014,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.4,0.5
1/27/2015,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.3,0.5
4/21/2015,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.2
7/21/2015,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.7,0.8,0.2
10/27/2015,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,0.7
1/26/2016,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.3,0.5
4/26/2016,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.3,0.4
7/26/2016,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,-0.2
10/25/2016,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.7,0.5,0.4
1/24/2017,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.7,0.7
4/25/2017,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,0.5
7/25/2017,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.4,0.5
10/24/2017,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.6,0.8,0.2
1/30/2018,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.6,0.7,0.6
4/23/2018,21:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.4,0.5,0.6
7/24/2018,21:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.4,0.5,0.4
10/30/2018,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.4,0.5,0.4
1/29/2019,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.4,0.4
4/23/2019,21:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0,0.2,0.5
7/30/2019,20:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.5,0
10/29/2019,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0.6
1/28/2020,19:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.7,0.6,0.5
4/28/2020,21:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,0.7
7/28/2020,21:30:00,Australia                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,-1.9,-2,0.3
